channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,0.0022460239547778733,0.8286270598097973,10,5,mixed,0.4081276453162555
EEG-ch10,alpha,mixed-lm,0.00849931955487332,0.3032272255308335,10,5,mixed,0.4081276453162555
EEG-ch11,alpha,mixed-lm,0.004145432093893419,0.6715642601726672,10,5,mixed,0.4081276453162555
EEG-ch12,alpha,mixed-lm,0.011630464284924827,0.20074693315170666,10,5,mixed,0.4081276453162555
EEG-ch13,alpha,mixed-lm,0.011497851955231616,0.24486665173371813,8,4,mixed,0.4081276453162555
EEG-ch14,alpha,mixed-lm,0.0010127962985060136,0.9142636529744486,10,5,mixed,0.4081276453162555
EEG-ch15,alpha,mixed-lm,0.0010426969342696656,0.9117492638269211,10,5,mixed,0.4081276453162555
EEG-ch16,alpha,mixed-lm,0.015999840020293424,0.14154302981393924,10,5,mixed,0.4081276453162555
EEG-ch17,alpha,mixed-lm,0.002711024582018917,0.5474484617435205,8,4,mixed,0.4081276453162555
EEG-ch18,alpha,mixed-lm,0.008572662012724268,0.42140667348164973,8,4,mixed,0.4081276453162555
EEG-ch19,alpha,mixed-lm,-0.024591802503530654,0.0672603586176766,8,4,mixed,0.4081276453162555
EEG-ch2,alpha,mixed-lm,0.006142615784415947,0.614795773393694,10,5,mixed,0.4081276453162555
EEG-ch20,alpha,mixed-lm,0.006229039663119569,0.4773973023392025,10,5,mixed,0.4081276453162555
EEG-ch21,alpha,mixed-lm,0.017199759713379358,0.012753988916132985,10,5,mixed,0.4081276453162555
EEG-ch22,alpha,mixed-lm,0.003315217753524833,0.5041241692038791,10,5,mixed,0.5021726661739365
EEG-ch23,alpha,mixed-lm,0.007812999066743851,0.5575569392307573,8,4,mixed,0.5021726661739365
EEG-ch24,alpha,mixed-lm,0.010023795150598563,0.10878696582833787,10,5,mixed,0.5021726661739365
EEG-ch25,alpha,mixed-lm,0.012994774725738184,0.05031321555252519,10,5,mixed,0.5021726661739365
EEG-ch26,alpha,mixed-lm,0.004743722698773705,0.45184118788973193,10,5,mixed,0.5021726661739365
EEG-ch27,alpha,mixed-lm,0.00871310562857745,0.4423934348551277,10,5,mixed,0.5021726661739365
EEG-ch28,alpha,mixed-lm,0.01468158176385895,0.3145184413873645,8,4,mixed,0.5021726661739365
EEG-ch29,alpha,mixed-lm,0.006698483964695354,0.39070523665301293,10,5,mixed,0.5021726661739365
EEG-ch3,alpha,mixed-lm,0.0009601247178585125,0.9173139599631014,10,5,mixed,0.5021726661739365
EEG-ch30,alpha,mixed-lm,0.012967028263697064,0.10153287256444626,10,5,mixed,0.5021726661739365
EEG-ch31,alpha,mixed-lm,-0.0022186094354943848,0.7082740274592638,10,5,mixed,0.5021726661739365
EEG-ch32,alpha,mixed-lm,-0.004377512082182347,0.6796109024231674,10,5,mixed,0.5021726661739365
EEG-ch4,alpha,mixed-lm,0.006885398131129783,0.40021405441222724,10,5,mixed,0.5021726661739365
EEG-ch5,alpha,mixed-lm,0.00985290108790809,0.35200416103573984,10,5,mixed,0.5021726661739365
EEG-ch6,alpha,mixed-lm,-0.0018232547167052187,0.7390772975720785,10,5,mixed,0.5021726661739365
EEG-ch7,alpha,mixed-lm,0.011993289959126999,0.12554316654348413,10,5,mixed,0.5021726661739365
EEG-ch8,alpha,mixed-lm,0.011321533091164297,0.11776263915844469,10,5,mixed,0.5383434932957472
EEG-ch9,alpha,mixed-lm,0.009549714997402634,0.06700331278503133,10,5,mixed,0.7147020030403342
EEG-ch1,delta,mixed-lm,0.013525948391047232,1.7546416839644288e-06,10,5,mixed,5.614853388686172e-05
EEG-ch10,delta,mixed-lm,-0.006713287612981617,0.5719710066530427,10,5,mixed,0.08518194971587009
EEG-ch11,delta,mixed-lm,0.0144693903809065,0.2711875108369728,10,5,mixed,0.08518194971587009
EEG-ch12,delta,mixed-lm,0.03349514991921812,0.005323871857241881,10,5,mixed,0.08518194971587009
EEG-ch13,delta,mixed-lm,-0.01537670261635632,0.3774813698125896,8,4,mixed,0.15193982067254425
EEG-ch14,delta,mixed-lm,0.022336492530795154,0.16536215278195854,10,5,mixed,0.15193982067254425
EEG-ch15,delta,mixed-lm,0.012475069798293562,0.5663660962161587,10,5,mixed,0.15193982067254425
EEG-ch16,delta,mixed-lm,0.023772564814700622,0.23634025870535025,10,5,mixed,0.15193982067254425
EEG-ch17,delta,mixed-lm,-0.0014309882105517993,0.905427970893394,8,4,mixed,0.15193982067254425
EEG-ch18,delta,mixed-lm,-0.007718937127413977,0.5505341550423315,8,4,mixed,0.15193982067254425
EEG-ch19,delta,mixed-lm,-0.021700406809230265,0.016019305631012996,8,4,mixed,0.15193982067254425
EEG-ch2,delta,mixed-lm,0.01631899338381244,0.198893846620802,10,5,mixed,0.15193982067254425
EEG-ch20,delta,mixed-lm,0.009472232157686628,0.5809294890746014,10,5,mixed,0.15193982067254425
EEG-ch21,delta,mixed-lm,0.023485095359285512,0.19023506403878154,10,5,mixed,0.15193982067254425
EEG-ch22,delta,mixed-lm,0.009543934946700255,0.4303817648175836,10,5,mixed,0.15193982067254425
EEG-ch23,delta,mixed-lm,-0.007742338628367387,0.6472773705770933,8,4,mixed,0.15193982067254425
EEG-ch24,delta,mixed-lm,0.01610870663483873,0.2697683213600841,10,5,mixed,0.15193982067254425
EEG-ch25,delta,mixed-lm,0.024776315457375648,0.35743145071281335,10,5,mixed,0.15193982067254425
EEG-ch26,delta,mixed-lm,0.012189987661046849,0.43359601947849247,10,5,mixed,0.15193982067254425
EEG-ch27,delta,mixed-lm,-0.00080385758383876,0.97210473197426,10,5,mixed,0.15193982067254425
EEG-ch28,delta,mixed-lm,-0.005698640865648086,0.6287526859055013,8,4,mixed,0.15193982067254425
EEG-ch29,delta,mixed-lm,-0.0012268774900367051,0.862595723169603,10,5,mixed,0.15193982067254425
EEG-ch3,delta,mixed-lm,0.02386437079503764,0.02374059698008504,10,5,mixed,0.15193982067254425
EEG-ch30,delta,mixed-lm,0.003926252130938701,0.7654021641208857,10,5,mixed,0.18391346360733693
EEG-ch31,delta,mixed-lm,0.019770978407790126,0.24368202594847777,10,5,mixed,0.18391346360733693
EEG-ch32,delta,mixed-lm,-0.006013185410482275,0.6285996414606774,10,5,mixed,0.18391346360733693
EEG-ch4,delta,mixed-lm,0.022357274563278212,0.15387066027946864,10,5,mixed,0.18391346360733693
EEG-ch5,delta,mixed-lm,0.014111326556956138,0.499255846275375,10,5,mixed,0.18391346360733693
EEG-ch6,delta,mixed-lm,-0.0036624275163650763,0.720232162782511,10,5,mixed,0.18391346360733693
EEG-ch7,delta,mixed-lm,0.04149029283662964,0.022989182950917116,10,5,mixed,0.18391346360733693
