channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,-0.0031869274483373017,0.6936463773357309,10,5,mixed,6.616404414441199e-38
EEG-ch10,alpha,mixed-lm,-0.00501908001993925,0.4059209044903368,10,5,mixed,6.616404414441199e-38
EEG-ch11,alpha,mixed-lm,0.0005031086053790886,0.9393099426897936,10,5,mixed,6.616404414441199e-38
EEG-ch12,alpha,mixed-lm,-0.011033920320345857,0.057891485541685044,10,5,mixed,6.616404414441199e-38
EEG-ch13,alpha,mixed-lm,-0.01462069723536263,0.0004005386408530127,8,4,mixed,6.616404414441199e-38
EEG-ch14,alpha,mixed-lm,-0.008318471381136542,0.31000856722024295,10,5,mixed,6.616404414441199e-38
EEG-ch15,alpha,mixed-lm,0.011381969015608031,0.14149836659552306,10,5,mixed,6.616404414441199e-38
EEG-ch16,alpha,mixed-lm,-0.002220899596382878,0.6692376704641372,10,5,mixed,6.616404414441199e-38
EEG-ch17,alpha,mixed-lm,-0.020365668958289916,2.0676263795128747e-39,9,5,mixed,6.616404414441199e-38
EEG-ch18,alpha,mixed-lm,-0.005105089520674604,0.44694262980947297,8,4,mixed,0.018313056378301277
EEG-ch19,alpha,mixed-lm,-0.012470931111113403,0.1625519219061866,8,4,mixed,0.018313056378301277
EEG-ch2,alpha,mixed-lm,-0.008290309758994377,0.20652441851371117,10,5,mixed,0.018313056378301277
EEG-ch20,alpha,mixed-lm,-3.7333613600698532e-06,0.9996873656559191,10,5,mixed,0.018313056378301277
EEG-ch21,alpha,mixed-lm,-0.0030815087436631113,0.7361750712488075,10,5,mixed,0.018313056378301277
EEG-ch22,alpha,mixed-lm,-0.015250457977552723,0.006480439857931183,10,5,mixed,0.018313056378301277
EEG-ch23,alpha,mixed-lm,-0.0017456287020198476,0.7971778778877083,8,4,mixed,0.018313056378301277
EEG-ch24,alpha,mixed-lm,0.00644317191312274,0.4044843172114204,10,5,mixed,0.018313056378301277
EEG-ch25,alpha,mixed-lm,-0.0006175346369021826,0.9381162801342536,10,5,mixed,0.018313056378301277
EEG-ch26,alpha,mixed-lm,-0.00980643048737786,0.24195779135431073,10,5,mixed,0.018313056378301277
EEG-ch27,alpha,mixed-lm,-0.005294628391887509,0.441399514151529,10,5,mixed,0.018313056378301277
EEG-ch28,alpha,mixed-lm,0.02387023764407427,0.00810210147162545,8,4,mixed,0.018313056378301277
EEG-ch29,alpha,mixed-lm,-0.007195488706385328,0.43061105256863397,10,5,mixed,0.018313056378301277
EEG-ch3,alpha,mixed-lm,-0.003534445026072236,0.6152089388815498,10,5,mixed,0.018313056378301277
EEG-ch30,alpha,mixed-lm,0.005588352624674189,0.3364544151106391,10,5,mixed,0.018313056378301277
EEG-ch31,alpha,mixed-lm,-0.0052122161324408564,0.5880786116580904,10,5,mixed,0.018313056378301277
EEG-ch32,alpha,mixed-lm,-0.006761062844306003,0.1021471492570716,10,5,mixed,0.018313056378301277
EEG-ch4,alpha,mixed-lm,-0.010069583966348253,0.005441524838343507,10,5,mixed,0.018313056378301277
EEG-ch5,alpha,mixed-lm,-0.003693459050562127,0.602601947496162,10,5,mixed,0.018313056378301277
EEG-ch6,alpha,mixed-lm,-0.010881886486188978,0.0019701668560246502,10,5,mixed,0.018313056378301277
EEG-ch7,alpha,mixed-lm,-0.005473308088208407,0.28775384860346387,10,5,mixed,0.018313056378301277
EEG-ch8,alpha,mixed-lm,-0.005750708495094717,0.25412532137908306,10,5,mixed,0.018313056378301277
EEG-ch9,alpha,mixed-lm,-0.013126998086589329,0.0022891320472876596,10,5,mixed,0.018313056378301277
EEG-ch1,delta,mixed-lm,-0.010978275013975143,0.2287965008405599,10,5,mixed,0.01459840849479557
EEG-ch10,delta,mixed-lm,0.0024027866260301844,0.8217236695936871,10,5,mixed,0.01459840849479557
EEG-ch11,delta,mixed-lm,-0.009173532749741548,0.5700693012987132,10,5,mixed,0.01459840849479557
EEG-ch12,delta,mixed-lm,0.01383359741226824,0.4044905421149566,10,5,mixed,0.01459840849479557
EEG-ch13,delta,mixed-lm,-0.04843091708820585,0.011219398798291482,8,4,mixed,0.01459840849479557
EEG-ch14,delta,mixed-lm,0.010414859632921642,0.5260442271757264,10,5,mixed,0.01459840849479557
EEG-ch15,delta,mixed-lm,0.00734943442183582,0.6653453190980025,10,5,mixed,0.01459840849479557
EEG-ch16,delta,mixed-lm,0.01585678109096616,0.45416383485234224,10,5,mixed,0.01459840849479557
EEG-ch17,delta,mixed-lm,-0.030843294443940385,0.03940386664267033,9,5,mixed,0.01459840849479557
EEG-ch18,delta,mixed-lm,-0.031129082949838335,0.08395264064806522,8,4,mixed,0.01459840849479557
EEG-ch19,delta,mixed-lm,-0.03728975078794435,0.03602677978695697,8,4,mixed,0.01459840849479557
EEG-ch2,delta,mixed-lm,-0.008145019037042322,0.48518501728659336,10,5,mixed,0.01459840849479557
EEG-ch20,delta,mixed-lm,-0.005022550175833336,0.8099568035282153,10,5,mixed,0.01459840849479557
EEG-ch21,delta,mixed-lm,-0.0010198039897266523,0.9651975463251512,10,5,mixed,0.01459840849479557
EEG-ch22,delta,mixed-lm,0.010602520329980953,0.6188100456926038,10,5,mixed,0.01459840849479557
EEG-ch23,delta,mixed-lm,-0.02506600189655643,0.1332279734639917,8,4,mixed,0.01459840849479557
EEG-ch24,delta,mixed-lm,-0.00251125068629643,0.8942830247738633,10,5,mixed,0.01459840849479557
EEG-ch25,delta,mixed-lm,0.012849185341899425,0.6112771569461286,10,5,mixed,0.01459840849479557
EEG-ch26,delta,mixed-lm,0.016674764670066906,0.3777034027757227,10,5,mixed,0.01459840849479557
EEG-ch27,delta,mixed-lm,0.008343822187979907,0.7289059059562875,10,5,mixed,0.01459840849479557
