channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,-0.005432951403115174,0.29534531471553904,10,5,mixed,9.198545105640446e-08
EEG-ch10,alpha,mixed-lm,-0.013518399574812573,0.1697078344251084,10,5,mixed,9.198545105640446e-08
EEG-ch11,alpha,mixed-lm,-0.0036423234885143325,0.5556948744440515,10,5,mixed,9.198545105640446e-08
EEG-ch12,alpha,mixed-lm,-0.02266438460527068,0.006224604201345499,10,5,mixed,9.198545105640446e-08
EEG-ch13,alpha,mixed-lm,-0.026118549190594247,0.010725204742319411,8,4,mixed,9.198545105640446e-08
EEG-ch14,alpha,mixed-lm,-0.009331267679642553,0.10144523401827339,10,5,mixed,9.198545105640446e-08
EEG-ch15,alpha,mixed-lm,0.010339272081338368,0.32987698984603364,10,5,mixed,9.198545105640446e-08
EEG-ch16,alpha,mixed-lm,-0.0182207396166763,0.02839157976821304,10,5,mixed,9.198545105640446e-08
EEG-ch17,alpha,mixed-lm,-0.022357421681388785,2.8745453455126394e-09,9,5,mixed,9.198545105640446e-08
EEG-ch18,alpha,mixed-lm,-0.013677751533398869,0.10020678986700292,8,4,mixed,7.861112524399226e-05
EEG-ch19,alpha,mixed-lm,0.012120871392417253,0.18191641161761152,8,4,mixed,7.861112524399226e-05
EEG-ch2,alpha,mixed-lm,-0.01443292554341033,0.09351314980912688,10,5,mixed,7.861112524399226e-05
EEG-ch20,alpha,mixed-lm,-0.006232773024479637,0.479723779079797,10,5,mixed,7.861112524399226e-05
EEG-ch21,alpha,mixed-lm,-0.02028126845704247,4.913195327749516e-06,10,5,mixed,7.861112524399226e-05
EEG-ch22,alpha,mixed-lm,-0.018565675731077556,0.0008139843658509751,10,5,mixed,0.008682499902410401
EEG-ch23,alpha,mixed-lm,-0.009558627768763692,0.44699163071996306,8,4,mixed,0.009945954029074312
EEG-ch24,alpha,mixed-lm,-0.0035806232374758222,0.6035660226938333,10,5,mixed,0.009945954029074312
EEG-ch25,alpha,mixed-lm,-0.013612309362640369,0.020553213691378438,10,5,mixed,0.009945954029074312
EEG-ch26,alpha,mixed-lm,-0.014550153186151566,0.004647808610348729,10,5,mixed,0.009945954029074312
EEG-ch27,alpha,mixed-lm,-0.014007734020464957,0.14024037670706105,10,5,mixed,0.009945954029074312
EEG-ch28,alpha,mixed-lm,0.009188655880215323,0.5729877318232206,8,4,mixed,0.009945954029074312
EEG-ch29,alpha,mixed-lm,-0.013893972671080685,0.016622094096545886,10,5,mixed,0.009945954029074312
EEG-ch3,alpha,mixed-lm,-0.00449456974393075,0.4559705489453282,10,5,mixed,0.009945954029074312
EEG-ch30,alpha,mixed-lm,-0.007378675639022879,0.42966347815182315,10,5,mixed,0.009945954029074312
EEG-ch31,alpha,mixed-lm,-0.0029936066969464725,0.7720271582284564,10,5,mixed,0.009945954029074312
EEG-ch32,alpha,mixed-lm,-0.002383550762123653,0.7702974718759812,10,5,mixed,0.009945954029074312
EEG-ch4,alpha,mixed-lm,-0.016954982097478033,0.0017492055387184748,10,5,mixed,0.009945954029074312
EEG-ch5,alpha,mixed-lm,-0.01354636013847021,0.03421913345914666,10,5,mixed,0.009945954029074312
EEG-ch6,alpha,mixed-lm,-0.009058631769483762,0.027200920121008432,10,5,mixed,0.009945954029074312
EEG-ch7,alpha,mixed-lm,-0.017466598047335406,0.05221619561108491,10,5,mixed,0.009945954029074312
EEG-ch8,alpha,mixed-lm,-0.017072241586259012,0.0018648663804514336,10,5,mixed,0.009945954029074312
EEG-ch9,alpha,mixed-lm,-0.02267671308399196,0.0016337820336577008,10,5,mixed,0.013070256269261607
EEG-ch1,delta,mixed-lm,-0.024504223405022375,0.013130790596650123,10,5,mixed,7.747461898634345e-10
EEG-ch10,delta,mixed-lm,0.0091160742390118,0.4245916959818623,10,5,mixed,7.747461898634345e-10
EEG-ch11,delta,mixed-lm,-0.023642923130648048,0.04010357380417315,10,5,mixed,7.747461898634345e-10
EEG-ch12,delta,mixed-lm,-0.019661552506949863,0.115259663273034,10,5,mixed,7.747461898634345e-10
EEG-ch13,delta,mixed-lm,-0.03305421447184953,2.4210818433232327e-11,8,4,mixed,7.747461898634345e-10
EEG-ch14,delta,mixed-lm,-0.011921632897873503,0.3282987492799083,10,5,mixed,0.05851909074786388
EEG-ch15,delta,mixed-lm,-0.005125635376457743,0.6907228509366556,10,5,mixed,0.05851909074786388
EEG-ch16,delta,mixed-lm,-0.007915783723734462,0.12572255005009902,10,5,mixed,0.05851909074786388
EEG-ch17,delta,mixed-lm,-0.029244181678730215,0.008106172411795613,9,5,mixed,0.05851909074786388
EEG-ch18,delta,mixed-lm,-0.023410145822424358,0.11114067120833672,8,4,mixed,0.05851909074786388
EEG-ch19,delta,mixed-lm,-0.015589343978714091,0.47347490575502316,8,4,mixed,0.05851909074786388
EEG-ch2,delta,mixed-lm,-0.02446401242085476,0.059665057116148994,10,5,mixed,0.05851909074786388
EEG-ch20,delta,mixed-lm,-0.014494782333519968,0.2521445743224412,10,5,mixed,0.05851909074786388
EEG-ch21,delta,mixed-lm,-0.02450489934901216,0.09425099853273564,10,5,mixed,0.05851909074786388
EEG-ch22,delta,mixed-lm,0.0010585853832807024,0.9487742070630367,10,5,mixed,0.05851909074786388
EEG-ch23,delta,mixed-lm,-0.017323663268189037,0.0036574431717414924,8,4,mixed,0.05851909074786388
EEG-ch24,delta,mixed-lm,-0.018619957321135153,0.23094710171954957,10,5,mixed,0.22584352911874941
EEG-ch25,delta,mixed-lm,-0.01192713011547622,0.5051980714823656,10,5,mixed,0.22584352911874941
EEG-ch26,delta,mixed-lm,0.004484777009020068,0.7238736780200647,10,5,mixed,0.22584352911874941
EEG-ch27,delta,mixed-lm,0.009147679771818663,0.5626614221921671,10,5,mixed,0.22584352911874941
EEG-ch28,delta,mixed-lm,-0.004584910223429217,0.6542834221503437,8,4,mixed,0.22584352911874941
EEG-ch29,delta,mixed-lm,-0.0011763525551411777,0.9539066054534859,10,5,mixed,0.22584352911874941
EEG-ch3,delta,mixed-lm,-0.024752107438742663,0.1819601049587305,10,5,mixed,0.22584352911874941
EEG-ch30,delta,mixed-lm,0.0030628860745677083,0.7874104833752551,10,5,mixed,0.22584352911874941
EEG-ch31,delta,mixed-lm,0.01209739412172745,0.38394631988748773,10,5,mixed,0.22584352911874941
EEG-ch32,delta,mixed-lm,-0.003971673232185292,0.7276069311554174,10,5,mixed,0.22584352911874941
EEG-ch4,delta,mixed-lm,-0.02706134296848787,0.035288051424804595,10,5,mixed,0.22584352911874941
EEG-ch5,delta,mixed-lm,0.0038516254277031364,0.7700222336264162,10,5,mixed,0.3599053542101652
EEG-ch6,delta,mixed-lm,-0.016689308959746303,0.31840526980525174,10,5,mixed,0.3599053542101652
EEG-ch7,delta,mixed-lm,-0.0074265677629478015,0.6004387245937945,10,5,mixed,0.3599053542101652
EEG-ch8,delta,mixed-lm,-0.0010404325673202257,0.9384840210532204,10,5,mixed,0.3599053542101652
EEG-ch9,delta,mixed-lm,-0.026799713247006345,0.11247042319067661,10,5,mixed,0.3599053542101652
EEG-ch1,gamma1,mixed-lm,-0.012628392846776288,0.0009512175384769352,10,5,mixed,0.0008154445243376289
EEG-ch10,gamma1,mixed-lm,-0.002462731896604695,0.5384454566267342,10,5,mixed,0.0008154445243376289
EEG-ch11,gamma1,mixed-lm,0.002423270987486358,0.07958176245042593,10,5,mixed,0.0008154445243376289
EEG-ch12,gamma1,mixed-lm,-0.006698059895402457,0.031061042435457792,10,5,mixed,0.0008154445243376289
EEG-ch13,gamma1,mixed-lm,-0.01023233711729988,0.023682132582564536,8,4,mixed,0.0008154445243376289
EEG-ch14,gamma1,mixed-lm,-0.007250809484854329,0.015871327249291217,10,5,mixed,0.0008154445243376289
EEG-ch15,gamma1,mixed-lm,0.003750245303967518,0.3187964354167545,10,5,mixed,0.0008154445243376289
EEG-ch16,gamma1,mixed-lm,-0.0024113919082461794,0.09307340003538547,10,5,mixed,0.0008154445243376289
