channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,0.0002866473891016824,0.9041109636142347,10,5,mixed,0.01854336321219224
EEG-ch10,alpha,mixed-lm,0.003713468893614353,0.13120646125149366,10,5,mixed,0.01854336321219224
EEG-ch11,alpha,mixed-lm,0.0018757535334307392,0.5027850297271041,10,5,mixed,0.01854336321219224
EEG-ch12,alpha,mixed-lm,0.0009835626692833068,0.6183211236639472,10,5,mixed,0.01854336321219224
EEG-ch13,alpha,mixed-lm,0.004654793417823206,0.10098891543879947,8,4,mixed,0.01854336321219224
EEG-ch14,alpha,mixed-lm,0.0008972182019958044,0.7942957398567546,10,5,mixed,0.01854336321219224
EEG-ch15,alpha,mixed-lm,0.00039822567642030507,0.8143973908288615,10,5,mixed,0.01854336321219224
EEG-ch16,alpha,mixed-lm,0.00099032704792994,0.6161626607550029,10,5,mixed,0.01854336321219224
EEG-ch17,alpha,mixed-lm,0.003158873250425879,0.12637880960154102,8,4,mixed,0.01854336321219224
EEG-ch18,alpha,mixed-lm,0.0036284285466330743,0.2111586499288266,8,4,mixed,0.01854336321219224
EEG-ch19,alpha,mixed-lm,0.00183777740775236,0.4257680029234222,8,4,mixed,0.01854336321219224
EEG-ch2,alpha,mixed-lm,1.3949871172111439e-05,0.9941932588529226,10,5,mixed,0.01854336321219224
EEG-ch20,alpha,mixed-lm,-0.0002915040540924192,0.8351202658928223,10,5,mixed,0.01854336321219224
EEG-ch21,alpha,mixed-lm,0.0023551111067179943,0.17244834621330463,10,5,mixed,0.01854336321219224
EEG-ch22,alpha,mixed-lm,0.0022332060769833053,0.30638802084487027,10,5,mixed,0.01854336321219224
EEG-ch23,alpha,mixed-lm,0.002883977364813424,0.39105799996064994,8,4,mixed,0.01854336321219224
EEG-ch24,alpha,mixed-lm,-0.0017551547109331358,0.23885445872432465,10,5,mixed,0.01854336321219224
EEG-ch25,alpha,mixed-lm,-0.001011968871473188,0.6116973905147172,10,5,mixed,0.01854336321219224
EEG-ch26,alpha,mixed-lm,0.0009337348265508983,0.7575351576439424,10,5,mixed,0.01854336321219224
EEG-ch27,alpha,mixed-lm,0.0010142389928044534,0.7110213367694588,10,5,mixed,0.01854336321219224
EEG-ch28,alpha,mixed-lm,0.001730699940668384,0.5906709141793134,8,4,mixed,0.01854336321219224
EEG-ch29,alpha,mixed-lm,-0.0017768894948388425,0.4699572868598717,10,5,mixed,0.01854336321219224
EEG-ch3,alpha,mixed-lm,0.0017284059757422371,0.28260066784861326,10,5,mixed,0.01854336321219224
EEG-ch30,alpha,mixed-lm,-0.002354777494614569,0.39088897275813217,10,5,mixed,0.01854336321219224
EEG-ch31,alpha,mixed-lm,-0.004243761552293883,0.1464915860102629,10,5,mixed,0.01854336321219224
EEG-ch32,alpha,mixed-lm,-0.0018440552480335568,0.4573474578912162,10,5,mixed,0.01854336321219224
EEG-ch4,alpha,mixed-lm,0.0010862298361847419,0.6542594293544468,10,5,mixed,0.01854336321219224
EEG-ch5,alpha,mixed-lm,0.0012426945811924509,0.5944100283229043,10,5,mixed,0.01854336321219224
EEG-ch6,alpha,mixed-lm,0.004049228849472152,0.0005794801003810075,10,5,mixed,0.01854336321219224
EEG-ch7,alpha,mixed-lm,-0.0003347279035587979,0.8913833702024572,10,5,mixed,0.9256710116317471
EEG-ch8,alpha,mixed-lm,0.0018034426825051827,0.289272191134921,10,5,mixed,0.9256710116317471
EEG-ch9,alpha,mixed-lm,0.0005829301573706827,0.8175337054541971,10,5,mixed,0.9343242348047968
EEG-ch1,delta,mixed-lm,-0.017548488969233438,0.0014624233711586156,10,5,mixed,1.4693458108035959e-08
EEG-ch10,delta,mixed-lm,-0.005827869169947854,0.5648007684511273,10,5,mixed,1.4693458108035959e-08
EEG-ch11,delta,mixed-lm,-0.007899429458243751,0.3028799846145197,10,5,mixed,1.4693458108035959e-08
EEG-ch12,delta,mixed-lm,0.002070923972101871,0.7986751970665813,10,5,mixed,1.4693458108035959e-08
EEG-ch13,delta,mixed-lm,-0.0024858731440105843,0.7238000769493995,8,4,mixed,1.4693458108035959e-08
EEG-ch14,delta,mixed-lm,-0.014048264413505707,0.1019401543988765,10,5,mixed,1.4693458108035959e-08
EEG-ch15,delta,mixed-lm,0.001547164479260916,0.8641435450350137,10,5,mixed,1.4693458108035959e-08
EEG-ch16,delta,mixed-lm,0.000733868648654118,0.9438853747600757,10,5,mixed,1.4693458108035959e-08
EEG-ch17,delta,mixed-lm,-0.011935613264118235,0.10196449373226893,8,4,mixed,1.4693458108035959e-08
EEG-ch18,delta,mixed-lm,-0.00863358648151744,0.04040401815821635,8,4,mixed,1.4693458108035959e-08
EEG-ch19,delta,mixed-lm,-0.00952242549471079,0.18783026750777754,8,4,mixed,1.4693458108035959e-08
EEG-ch2,delta,mixed-lm,-0.0046695325101814514,0.5355535741507476,10,5,mixed,1.4693458108035959e-08
EEG-ch20,delta,mixed-lm,-0.009108206806778152,0.08825466235453376,10,5,mixed,1.4693458108035959e-08
EEG-ch21,delta,mixed-lm,-0.0021859782179035094,0.7740078053956593,10,5,mixed,1.4693458108035959e-08
EEG-ch22,delta,mixed-lm,0.010107271050892007,0.21543172784862508,10,5,mixed,1.4693458108035959e-08
EEG-ch23,delta,mixed-lm,-0.015633259796644948,4.591705658761237e-10,8,4,mixed,1.4693458108035959e-08
EEG-ch24,delta,mixed-lm,0.0015639262273928387,0.8647412378857302,10,5,mixed,0.19894382867940721
EEG-ch25,delta,mixed-lm,0.0034006854680463153,0.7802246613056368,10,5,mixed,0.19894382867940721
EEG-ch26,delta,mixed-lm,-0.0004443778589096711,0.950818018365967,10,5,mixed,0.19894382867940721
EEG-ch27,delta,mixed-lm,-0.00729535565063553,0.34041399622081514,10,5,mixed,0.19894382867940721
EEG-ch28,delta,mixed-lm,-0.012900511170169963,0.06393405749664874,8,4,mixed,0.19894382867940721
EEG-ch29,delta,mixed-lm,-0.013547498841768707,0.018650983938694427,10,5,mixed,0.19894382867940721
EEG-ch3,delta,mixed-lm,-0.008585902056427458,0.1729976017828887,10,5,mixed,0.3704868290413492
EEG-ch30,delta,mixed-lm,-0.0077019350733050634,0.2193243388012841,10,5,mixed,0.3704868290413492
EEG-ch31,delta,mixed-lm,-0.006343261085072899,0.5352708299564846,10,5,mixed,0.3704868290413492
EEG-ch32,delta,mixed-lm,-0.014673467202686807,0.057888567037710816,10,5,mixed,0.3704868290413492
EEG-ch4,delta,mixed-lm,-0.00850925665675183,0.17434313152953707,10,5,mixed,0.507180018995017
EEG-ch5,delta,mixed-lm,-0.0017319767798371535,0.8388057627991341,10,5,mixed,0.6807431833925002
EEG-ch6,delta,mixed-lm,-0.0038790749939592467,0.4809108237882196,10,5,mixed,0.6807431833925002
EEG-ch7,delta,mixed-lm,0.007301050697944507,0.3403715916962501,10,5,mixed,0.6807431833925002
EEG-ch8,delta,mixed-lm,0.006307325646806387,0.5016377083866659,10,5,mixed,0.8026203334186655
EEG-ch9,delta,mixed-lm,-0.005749517073330532,0.48442633456417306,10,5,mixed,0.8158759318975546
EEG-ch1,gamma1,mixed-lm,0.0006674308783102661,0.05742658730677044,10,5,mixed,0.5304715621505295
EEG-ch10,gamma1,mixed-lm,0.00026712487508503177,0.8030955634904837,10,5,mixed,0.5304715621505295
EEG-ch11,gamma1,mixed-lm,0.001350377040176012,0.1497922095702657,10,5,mixed,0.5304715621505295
