channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,0.0011931995040344791,0.5116672558978468,10,5,mixed,0.53937509878467
EEG-ch10,alpha,mixed-lm,0.003643556738027713,0.04637552168540754,10,5,mixed,0.53937509878467
EEG-ch11,alpha,mixed-lm,-0.0001298047987246212,0.9646332624730558,10,5,mixed,0.53937509878467
EEG-ch12,alpha,mixed-lm,0.0023316462740152156,0.31702793110096206,10,5,mixed,0.53937509878467
EEG-ch13,alpha,mixed-lm,0.004921795507220396,0.08753365627634173,8,4,mixed,0.53937509878467
EEG-ch14,alpha,mixed-lm,0.0028948293517848597,0.2236562680948463,10,5,mixed,0.53937509878467
EEG-ch15,alpha,mixed-lm,0.0020347402479515323,0.3381264814104121,10,5,mixed,0.53937509878467
EEG-ch16,alpha,mixed-lm,0.0022301191664575596,0.42391971850980215,10,5,mixed,0.53937509878467
EEG-ch17,alpha,mixed-lm,0.0034779464697875947,0.06080944708194803,9,5,mixed,0.53937509878467
EEG-ch18,alpha,mixed-lm,0.003446844199408491,0.06808000695739577,8,4,mixed,0.53937509878467
EEG-ch19,alpha,mixed-lm,0.0009776084388038587,0.6808589524355275,8,4,mixed,0.53937509878467
EEG-ch2,alpha,mixed-lm,0.0010966894584999378,0.5681984839263816,10,5,mixed,0.53937509878467
EEG-ch20,alpha,mixed-lm,0.0009712539049586534,0.7094396961247492,10,5,mixed,0.53937509878467
EEG-ch21,alpha,mixed-lm,0.0008403341235029308,0.7349166629624428,10,5,mixed,0.53937509878467
EEG-ch22,alpha,mixed-lm,0.00031065524774101104,0.902104358834739,10,5,mixed,0.53937509878467
EEG-ch23,alpha,mixed-lm,0.0010325673059530475,0.7359630519136535,8,4,mixed,0.53937509878467
EEG-ch24,alpha,mixed-lm,-0.0018244540954719967,0.43927681098967375,10,5,mixed,0.53937509878467
EEG-ch25,alpha,mixed-lm,-0.000944821348077817,0.7138823522873644,10,5,mixed,0.53937509878467
EEG-ch26,alpha,mixed-lm,0.0007015261899376012,0.8202442641502539,10,5,mixed,0.53937509878467
EEG-ch27,alpha,mixed-lm,4.3922616869398834e-05,0.9892243177118903,10,5,mixed,0.53937509878467
EEG-ch28,alpha,mixed-lm,0.0015627455512470649,0.5923192277900811,8,4,mixed,0.53937509878467
EEG-ch29,alpha,mixed-lm,0.0021813857415185337,0.503489492738336,10,5,mixed,0.53937509878467
EEG-ch3,alpha,mixed-lm,0.001335842259083646,0.3908183244203246,10,5,mixed,0.53937509878467
EEG-ch30,alpha,mixed-lm,0.000706195997017718,0.8307095656621027,10,5,mixed,0.53937509878467
EEG-ch31,alpha,mixed-lm,-0.0015810494096949682,0.5683256693846128,10,5,mixed,0.53937509878467
EEG-ch32,alpha,mixed-lm,0.001805248457264233,0.5294179940715527,10,5,mixed,0.53937509878467
EEG-ch4,alpha,mixed-lm,0.000944645986218562,0.7006945663892128,10,5,mixed,0.53937509878467
EEG-ch5,alpha,mixed-lm,0.001225285497812667,0.41011005650967136,10,5,mixed,0.53937509878467
EEG-ch6,alpha,mixed-lm,0.0037779167148664127,0.10113283102212564,10,5,mixed,0.53937509878467
EEG-ch7,alpha,mixed-lm,-0.0003070207224877538,0.9233559390178274,10,5,mixed,0.6014013072158556
EEG-ch8,alpha,mixed-lm,0.00234216990846174,0.09396895425247744,10,5,mixed,0.6014013072158556
EEG-ch9,alpha,mixed-lm,0.0020206316051870838,0.1454747282414998,10,5,mixed,0.6650273291039991
EEG-ch1,delta,mixed-lm,-0.014355188548010508,0.006372276105052764,10,5,mixed,0.11902149832711037
EEG-ch10,delta,mixed-lm,0.00988295363645444,0.37980310339092793,10,5,mixed,0.11902149832711037
EEG-ch11,delta,mixed-lm,-0.003999354640297776,0.6021682855993027,10,5,mixed,0.11902149832711037
EEG-ch12,delta,mixed-lm,0.00781425443886877,0.5248283460459617,10,5,mixed,0.11902149832711037
EEG-ch13,delta,mixed-lm,-0.0004821833416153278,0.9367957833212989,8,4,mixed,0.11902149832711037
EEG-ch14,delta,mixed-lm,-0.007345309925000544,0.3139846400474948,10,5,mixed,0.11902149832711037
EEG-ch15,delta,mixed-lm,0.010718058935560956,0.18524018836025313,10,5,mixed,0.11902149832711037
EEG-ch16,delta,mixed-lm,0.0030065651447641756,0.7228407853528696,10,5,mixed,0.11902149832711037
EEG-ch17,delta,mixed-lm,-0.004355363554031278,0.333306876942674,9,5,mixed,0.11902149832711037
EEG-ch18,delta,mixed-lm,-0.004213534647818831,0.4968074661433166,8,4,mixed,0.11902149832711037
EEG-ch19,delta,mixed-lm,-0.004259691223283986,0.3008147292678367,8,4,mixed,0.11902149832711037
EEG-ch2,delta,mixed-lm,-0.00864794490951504,0.19198957153943075,10,5,mixed,0.11902149832711037
EEG-ch20,delta,mixed-lm,-0.003489662148517239,0.4755877600807633,10,5,mixed,0.11902149832711037
EEG-ch21,delta,mixed-lm,0.00826109721054052,0.3091758617792071,10,5,mixed,0.11902149832711037
EEG-ch22,delta,mixed-lm,0.01473968528556337,0.014877687290888796,10,5,mixed,0.11902149832711037
EEG-ch23,delta,mixed-lm,-0.006927850700906834,0.3823763031049848,8,4,mixed,0.12853817189218392
EEG-ch24,delta,mixed-lm,0.010999060219304413,0.1922356988418914,10,5,mixed,0.12853817189218392
EEG-ch25,delta,mixed-lm,0.012470030027074244,0.22492536482216408,10,5,mixed,0.12853817189218392
EEG-ch26,delta,mixed-lm,0.012833442280713614,0.008033635743261495,10,5,mixed,0.12853817189218392
EEG-ch27,delta,mixed-lm,0.003924103514679697,0.5630867985573134,10,5,mixed,0.15413609424199484
EEG-ch28,delta,mixed-lm,0.002986774673326944,0.6553874118034079,8,4,mixed,0.15413609424199484
EEG-ch29,delta,mixed-lm,0.0017850790728724058,0.7203418257708653,10,5,mixed,0.15413609424199484
EEG-ch3,delta,mixed-lm,-0.0032703651918985195,0.6690711743125367,10,5,mixed,0.15413609424199484
EEG-ch30,delta,mixed-lm,0.0018299896142538116,0.7466662891107848,10,5,mixed,0.15413609424199484
EEG-ch31,delta,mixed-lm,0.01588740356214429,0.014450258835187017,10,5,mixed,0.15413609424199484
EEG-ch32,delta,mixed-lm,-0.005682453622273019,0.37597374200004163,10,5,mixed,0.7708173637602866
EEG-ch4,delta,mixed-lm,-0.008201458283153617,0.16213959458768,10,5,mixed,0.7708173637602866
EEG-ch5,delta,mixed-lm,-0.003689878402894341,0.44178137128630657,10,5,mixed,0.7708173637602866
EEG-ch6,delta,mixed-lm,-0.0038541728667315415,0.6295091247181002,10,5,mixed,0.7708173637602866
EEG-ch7,delta,mixed-lm,0.004556624965040093,0.6847116651650444,10,5,mixed,0.7708173637602866
EEG-ch8,delta,mixed-lm,0.010090500294476527,0.31362245609751904,10,5,mixed,0.7708173637602866
EEG-ch9,delta,mixed-lm,-0.002669597933796994,0.7467293211427777,10,5,mixed,0.7708173637602866
EEG-ch1,gamma1,mixed-lm,0.0014733710550821767,0.18570095138949627,10,5,mixed,2.442913819979676e-13
EEG-ch10,gamma1,mixed-lm,0.0012254312934039462,0.09343305110120945,10,5,mixed,2.442913819979676e-13
EEG-ch11,gamma1,mixed-lm,0.002694136969912606,0.0041157975574903655,10,5,mixed,2.442913819979676e-13
EEG-ch12,gamma1,mixed-lm,0.003252891578783914,0.026995100477524073,10,5,mixed,2.442913819979676e-13
EEG-ch13,gamma1,mixed-lm,0.0020315091811188555,0.19613351463298,8,4,mixed,2.442913819979676e-13
EEG-ch14,gamma1,mixed-lm,0.000821693193781042,0.4610022532303838,10,5,mixed,2.442913819979676e-13
EEG-ch15,gamma1,mixed-lm,0.0015920863325147628,0.2261691856742809,10,5,mixed,2.442913819979676e-13
EEG-ch16,gamma1,mixed-lm,0.002841558494596075,0.04204875564131691,10,5,mixed,2.442913819979676e-13
EEG-ch17,gamma1,mixed-lm,0.0036210629195090284,0.01813475814296727,9,5,mixed,2.442913819979676e-13
EEG-ch18,gamma1,mixed-lm,0.002542428615543036,0.008699280634151492,8,4,mixed,2.442913819979676e-13
EEG-ch19,gamma1,mixed-lm,-7.574643029303212e-05,0.957178418686954,8,4,mixed,2.442913819979676e-13
EEG-ch2,gamma1,mixed-lm,0.0014556684095903515,0.1874794488426994,10,5,mixed,2.442913819979676e-13
EEG-ch20,gamma1,mixed-lm,0.003760608329619144,0.00027609329046645307,10,5,mixed,2.442913819979676e-13
EEG-ch21,gamma1,mixed-lm,0.0029649583399804667,0.04335959787451607,10,5,mixed,2.442913819979676e-13
EEG-ch22,gamma1,mixed-lm,0.002278773500397324,0.2093496633944686,10,5,mixed,2.442913819979676e-13
EEG-ch23,gamma1,mixed-lm,0.0022840040134265004,7.634105687436488e-15,8,4,mixed,2.442913819979676e-13
EEG-ch24,gamma1,mixed-lm,0.002640103862020482,0.09268090524570011,10,5,mixed,0.010472657353768155
EEG-ch25,gamma1,mixed-lm,0.0029921049023695053,0.015774849702000306,10,5,mixed,0.010472657353768155
