channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch1,alpha,mixed-lm,0.0009065521149327968,0.6006693708829398,10,5,mixed,0.9888276622287917
EEG-ch10,alpha,mixed-lm,-6.991215558663933e-05,0.9799054553623203,10,5,mixed,0.9888276622287917
EEG-ch11,alpha,mixed-lm,-0.0020055583321553602,0.13027446699021886,10,5,mixed,0.9888276622287917
EEG-ch12,alpha,mixed-lm,0.0013480836047319097,0.32685037983165954,10,5,mixed,0.9888276622287917
EEG-ch13,alpha,mixed-lm,0.0002670020893971916,0.9123194446142003,8,4,mixed,0.9888276622287917
EEG-ch14,alpha,mixed-lm,0.0019976111497890556,0.4112905728627362,10,5,mixed,0.9888276622287917
EEG-ch15,alpha,mixed-lm,0.0016365145715312261,0.1932961562238379,10,5,mixed,0.9888276622287917
EEG-ch16,alpha,mixed-lm,0.001239792118527619,0.5760995156254809,10,5,mixed,0.9888276622287917
EEG-ch17,alpha,mixed-lm,0.0006611328791995229,0.7252805734426381,9,5,mixed,0.9888276622287917
EEG-ch18,alpha,mixed-lm,-0.00018158434722458322,0.9411311929501048,8,4,mixed,0.9888276622287917
EEG-ch19,alpha,mixed-lm,-0.0008601689689485011,0.7761381644726777,8,4,mixed,0.9888276622287917
EEG-ch2,alpha,mixed-lm,0.001082739587327826,0.6363615899132715,10,5,mixed,0.9888276622287917
EEG-ch20,alpha,mixed-lm,0.0012627579590510725,0.4312432613459317,10,5,mixed,0.9888276622287917
EEG-ch21,alpha,mixed-lm,-0.001514776983215063,0.31291250649011526,10,5,mixed,0.9888276622287917
EEG-ch22,alpha,mixed-lm,-0.0019225508292422945,0.20303561476006649,10,5,mixed,0.9888276622287917
EEG-ch23,alpha,mixed-lm,-0.0018514100588603766,0.2151433687936225,8,4,mixed,0.9888276622287917
EEG-ch24,alpha,mixed-lm,-6.929938453886023e-05,0.9720183802123425,10,5,mixed,0.9888276622287917
EEG-ch25,alpha,mixed-lm,6.714752339537153e-05,0.9668659519250936,10,5,mixed,0.9888276622287917
EEG-ch26,alpha,mixed-lm,-0.0002322086366132972,0.9114384001822734,10,5,mixed,0.9888276622287917
EEG-ch27,alpha,mixed-lm,-0.0009703163759350545,0.5333485418791055,10,5,mixed,0.9888276622287917
EEG-ch28,alpha,mixed-lm,-0.00016795438942131735,0.9284665717363937,8,4,mixed,0.9888276622287917
EEG-ch29,alpha,mixed-lm,0.0039582752363573745,0.09589344097195011,10,5,mixed,0.9888276622287917
EEG-ch3,alpha,mixed-lm,-0.00039256371665859213,0.8337783585970233,10,5,mixed,0.9888276622287917
EEG-ch30,alpha,mixed-lm,0.0030609734916322877,0.29014381192583305,10,5,mixed,0.9888276622287917
EEG-ch31,alpha,mixed-lm,0.002662712142598916,0.2163060511125482,10,5,mixed,0.9888276622287917
EEG-ch32,alpha,mixed-lm,0.003649303705297788,0.0342137746110172,10,5,mixed,0.99387460480918
EEG-ch4,alpha,mixed-lm,-0.00014158384996617972,0.9158818262648314,10,5,mixed,0.99387460480918
EEG-ch5,alpha,mixed-lm,-1.74090833797845e-05,0.99387460480918,10,5,mixed,0.99387460480918
EEG-ch6,alpha,mixed-lm,-0.00027131213460573997,0.8635496833934602,10,5,mixed,1.0
EEG-ch7,alpha,mixed-lm,2.7707181071044176e-05,0.9846908045734921,10,5,mixed,1.0
EEG-ch8,alpha,mixed-lm,0.0005387272259565589,0.7591957809808083,10,5,mixed,1.0
EEG-ch9,alpha,mixed-lm,0.0014377014478164005,0.492105889395017,10,5,mixed,1.0
EEG-ch1,delta,mixed-lm,0.0031933004212229264,0.5553306050463638,10,5,mixed,1.784127868824282e-05
EEG-ch10,delta,mixed-lm,0.01571082280640229,0.01001849682674963,10,5,mixed,1.784127868824282e-05
EEG-ch11,delta,mixed-lm,0.0039000748179459756,0.4021075211247812,10,5,mixed,1.784127868824282e-05
EEG-ch12,delta,mixed-lm,0.005743330466766897,0.5670225059854352,10,5,mixed,1.784127868824282e-05
EEG-ch13,delta,mixed-lm,0.0020036898023952573,0.8351495934684094,8,4,mixed,1.784127868824282e-05
EEG-ch14,delta,mixed-lm,0.006702954488505164,0.37644783297796136,10,5,mixed,1.784127868824282e-05
EEG-ch15,delta,mixed-lm,0.009170894456300038,5.575399590075881e-07,10,5,mixed,1.784127868824282e-05
EEG-ch16,delta,mixed-lm,0.0022726964961100617,0.7372655200868837,10,5,mixed,0.10966337397323399
EEG-ch17,delta,mixed-lm,0.007580249710199554,0.3311668960202697,9,5,mixed,0.10966337397323399
EEG-ch18,delta,mixed-lm,0.004420051833698608,0.5801357213485354,8,4,mixed,0.10966337397323399
EEG-ch19,delta,mixed-lm,0.005262734271426807,0.5227902848083877,8,4,mixed,0.10966337397323399
EEG-ch2,delta,mixed-lm,-0.003978412399333589,0.34108107985661307,10,5,mixed,0.10966337397323399
EEG-ch20,delta,mixed-lm,0.005618544658260913,0.3218609976631004,10,5,mixed,0.10966337397323399
EEG-ch21,delta,mixed-lm,0.01044707542844402,0.09629713547218058,10,5,mixed,0.10966337397323399
EEG-ch22,delta,mixed-lm,0.004632414234671357,0.5154568875816447,10,5,mixed,0.10966337397323399
EEG-ch23,delta,mixed-lm,0.008705409095738114,0.3282055495764782,8,4,mixed,0.10966337397323399
EEG-ch24,delta,mixed-lm,0.009435133991911576,0.13205698032894456,10,5,mixed,0.10966337397323399
EEG-ch25,delta,mixed-lm,0.009069344559027932,0.21557838792403283,10,5,mixed,0.10966337397323399
EEG-ch26,delta,mixed-lm,0.013277820139623286,0.03379823927859217,10,5,mixed,0.10966337397323399
EEG-ch27,delta,mixed-lm,0.011219459165315228,0.157045954000617,10,5,mixed,0.10966337397323399
EEG-ch28,delta,mixed-lm,0.015887285843496905,0.09617453330605734,8,4,mixed,0.10966337397323399
EEG-ch29,delta,mixed-lm,0.015332577914641118,0.023884937921625694,10,5,mixed,0.10966337397323399
