subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch1,delta,0.5,4.0,0.022346485654688195,0.032633899830849224,-0.13775279459654638,2.25,78755
2,VIZ,EEG-ch2,delta,0.5,4.0,0.013292510542886085,0.01820563765848104,-0.0742545045076081,2.25,78755
2,VIZ,EEG-ch3,delta,0.5,4.0,0.008972103850844376,0.00033555402036876685,0.001663353010853544,2.25,78755
2,VIZ,EEG-ch4,delta,0.5,4.0,0.017138656850671685,0.025918870647937638,-0.12880759712687756,2.25,78755
2,VIZ,EEG-ch5,delta,0.5,4.0,0.008961821065243458,0.012642995744505068,-0.07766921696273532,2.25,78755
2,VIZ,EEG-ch6,delta,0.5,4.0,0.029754750330933152,0.042477156375629335,-0.08338047753756,2.25,78755
2,VIZ,EEG-ch7,delta,0.5,4.0,0.021863901457352883,0.00913271399728425,-0.019078946341032573,2.25,78755
2,VIZ,EEG-ch8,delta,0.5,4.0,0.030381410466351698,0.01160644630731471,0.017494671896128734,2.25,78755
2,VIZ,EEG-ch9,delta,0.5,4.0,0.0236569747500452,0.024470218583435607,-0.05042581652332299,2.25,78755
2,VIZ,EEG-ch10,delta,0.5,4.0,0.032193000784787075,0.010847664100573693,-0.01510531329934444,2.25,78755
2,VIZ,EEG-ch11,delta,0.5,4.0,0.019406430905068835,0.01461046208874044,-0.03563344672892132,2.25,78755
2,VIZ,EEG-ch12,delta,0.5,4.0,0.032823803347533966,0.02746392722549577,0.03990247177988704,2.25,78755
2,VIZ,EEG-ch13,delta,0.5,4.0,0.005680648577761318,0.0006164451128897224,-0.21732893764668115,2.25,78755
2,VIZ,EEG-ch14,delta,0.5,4.0,0.012644371048620574,0.006231200825561428,-0.022527787826773813,2.25,78755
2,VIZ,EEG-ch15,delta,0.5,4.0,0.03486720332737879,0.050903183813768155,-0.08626783825988621,2.25,78755
2,VIZ,EEG-ch16,delta,0.5,4.0,0.028806664688328654,0.024164358057633405,0.040006302455169236,2.25,78755
2,VIZ,EEG-ch17,delta,0.5,4.0,0.008553869941171095,0.005382995769280657,-0.1929938817019272,2.25,78755
2,VIZ,EEG-ch18,delta,0.5,4.0,0.005680648577761318,0.0006164451128897224,-0.21732893764668115,2.25,78755
2,VIZ,EEG-ch19,delta,0.5,4.0,0.005680648577761318,0.0006164451128897224,-0.21732893764668115,2.25,78755
2,VIZ,EEG-ch20,delta,0.5,4.0,0.022260739841422916,0.003670529670491092,0.0075199580349587505,2.25,78755
2,VIZ,EEG-ch21,delta,0.5,4.0,0.024112984396395146,0.03613801534489691,0.09612060996759068,2.25,78755
2,VIZ,EEG-ch22,delta,0.5,4.0,0.025045342849927373,0.01903592034861938,0.035885535294854005,2.25,78755
2,VIZ,EEG-ch23,delta,0.5,4.0,0.005680648577761318,0.0006164451128897224,-0.21732893764668115,2.25,78755
2,VIZ,EEG-ch24,delta,0.5,4.0,0.041637591356915894,0.01738665500236254,0.019219857271792474,2.25,78755
2,VIZ,EEG-ch25,delta,0.5,4.0,0.032552148198025585,0.029033716817714106,0.043028779047702505,2.25,78755
2,VIZ,EEG-ch26,delta,0.5,4.0,0.04229760571316158,0.05121946705166544,0.06308421534551717,2.25,78755
2,VIZ,EEG-ch27,delta,0.5,4.0,0.03453929651201721,0.045100196239393486,0.0693263250933108,2.25,78755
2,VIZ,EEG-ch28,delta,0.5,4.0,0.005680648577761318,0.0006164451128897224,-0.21732893764668115,2.25,78755
2,VIZ,EEG-ch29,delta,0.5,4.0,0.05622863725615158,0.06114795288308533,0.054163489811813764,2.25,78755
2,VIZ,EEG-ch30,delta,0.5,4.0,0.029501040747809307,0.02287501045533402,0.036418436288870266,2.25,78755
2,VIZ,EEG-ch31,delta,0.5,4.0,0.031128654252476743,0.03859500206769861,0.06431746988676963,2.25,78755
2,VIZ,EEG-ch32,delta,0.5,4.0,0.0317611618345688,0.01966278562981379,0.02847583734018905,2.25,78755
2,VIZ,EEG-ch1,theta,4.0,8.0,0.01136922996103299,0.00443364113043623,-0.006514490058747617,6.0,78755
2,VIZ,EEG-ch2,theta,4.0,8.0,0.004791921410063098,0.0013302848077410474,-0.004680367598203462,6.0,78755
