band,metric,omnibus_p,p_AUD_vs_VIZ,p_MULTI_vs_VIZ,p_AUD_vs_MULTI,beta_AUD,beta_MULTI,se_AUD,se_MULTI,mean_VIZ,mean_AUD,mean_MULTI,n_subjects,n_channels,n_obs
delta,plv,2.7115638375859743e-13,8.163018908246892e-08,0.022891638194595793,2.1938151076900468e-14,-0.007243141459694049,0.003072603808412027,0.0013504536216088047,0.0013504536216088052,0.02846665268056276,0.02122351122086872,0.0315392564889748,5,32,480
delta,wpli,1.6810897098446159e-06,0.011556841562176526,0.006870270366925235,1.709253881068414e-07,-0.005375919416017169,0.005754140326573734,0.0021287442534273565,0.0021287442534273565,0.028829698372205188,0.023453778956188005,0.03458383869877891,5,32,480
theta,plv,0.005630616458815079,0.0016437070924798527,0.02631392890241797,0.3549471835962058,-0.0037610774294723746,-0.00265416505141194,0.0011947372451626135,0.0011947372451626135,0.024317987682387986,0.020575646918739286,0.02168255929679972,5,32,463
theta,wpli,0.14251671291132786,0.6653427352193306,0.058886465884674825,0.14589582448488614,-0.0008393486369032358,-0.0036656300739977238,0.0019404724237622945,0.0019404724237622945,0.024573599618614314,0.023756332292439397,0.020930050855344908,5,32,463
alpha,plv,2.109420988312134e-09,4.986876693182085e-09,0.5939564525955765,1.1200149415735379e-07,0.00626596933766926,0.000571252209545128,0.0010715437440771299,0.0010715437440771303,0.020334287546638106,0.02662235948497734,0.020927642356853206,5,32,463
alpha,wpli,0.0013757695004313838,0.025404317811092186,0.1631958444726016,0.0002902716382798149,0.003506914660435503,-0.0021877490495484254,0.0015689499656412796,0.0015689499656412794,0.021307059123219167,0.024847919837106183,0.019153256127122258,5,32,463
low_beta,plv,1.1566544207273378e-06,0.5686448349456392,1.7829033748857155e-05,1.217079090321705e-06,-0.0005359701768730828,0.0040339857264515295,0.0009402186313637073,0.0009402186313637075,0.015781220408147965,0.015253681608039898,0.01982363751136451,5,32,463
low_beta,wpli,0.00019187679483684224,0.0006788474215867805,0.6811067933834625,0.000142974047612271,-0.004510044963229826,0.0005454465183329488,0.0013272713602582476,0.0013272713602582472,0.018352353190639718,0.013844414222325732,0.01889990570388851,5,32,463
high_beta,plv,0.0011506164986956132,0.0002483822214087286,0.02087803346019317,0.17649956529362165,0.0030617275421762156,0.001930485960035952,0.0008356420641277553,0.0008356420641277552,0.013682859663336547,0.016747431639789902,0.015616190057649637,5,32,463
high_beta,wpli,0.0021501339259219613,0.026220405933112357,0.2049234830993194,0.0004920807790832248,0.002716299362725968,-0.00154899629697206,0.0012219445898887533,0.0012219445898887533,0.01500486539444072,0.0177109011684786,0.013445605508780574,5,32,463
gamma1,plv,1.0009409298027647e-07,1.1781743028258382e-08,0.041874456794643855,0.00024992653091443165,-0.0037086256439019085,-0.0013232292574503256,0.0006503103901848352,0.0006503103901848352,0.01201193698381626,0.008288758095581893,0.010674154482033476,5,32,463
gamma1,wpli,0.017143393011475362,0.0077060693955479645,0.02515277322013663,0.6708634535604767,-0.0027377590529755976,-0.002300450914415924,0.0010274235298330283,0.0010274235298330281,0.012411538254359405,0.009638700575192581,0.010076008713752256,5,32,463
delta,correlation_direct,6.133316116145735e-05,0.7938075193482614,6.817861455433159e-05,0.00020299123124301917,0.0007510887542264409,0.011444528631559973,0.0028736656188635395,0.00287366561886354,0.004512850206240663,0.005291020286779908,0.01598446016411344,5,32,463
theta,correlation_direct,0.00042636998131785305,0.19547814370759065,9.553576341539871e-05,0.009241930041973065,0.002510546514627638,0.007566608925031989,0.0019393312814902956,0.0019393312814902956,0.0014237535366399157,0.0038950201693645796,0.008951082579768933,5,32,463
alpha,correlation_direct,2.444174951038796e-12,0.0013047408554698202,6.100235266508124e-14,1.8345946586202276e-05,0.004676981223970847,0.010919353084800973,0.001454766985143845,0.0014547669851438455,-0.0077880690897601055,-0.0031327481732350755,0.0031096236875950466,5,32,463
low_beta,correlation_direct,1.6914968066030704e-06,7.410444626879837e-06,0.9161625883305594,4.66046475629926e-06,0.007365632380955601,-0.00017301411988162842,0.0016435474014387743,0.0016435474014387748,-0.0057136081130282285,0.0016753710406814536,-0.005863275460155777,5,32,463
high_beta,correlation_direct,0.0006986347715378766,0.5656202325796791,0.002634425797338531,0.0003485537679853367,0.0007945940526188662,-0.00415953212415686,0.0013830724190252888,0.0013830724190252886,0.0007332944801387554,0.001539704408294193,-0.003414421768481534,5,32,463
gamma1,correlation_direct,3.113068067188174e-10,0.6778943815259402,1.5359477980576802e-08,1.334855212666197e-09,-0.0003533989328863628,0.004813798374290488,0.0008508704003734634,0.000850870400373463,-0.001840633330963711,-0.0021792117997401434,0.0029879855074367075,5,32,463
