modality,metric,wilcoxon_p,wilcoxon_stat,delta_mean,lmm_p,lmm_beta,lmm_n_windows,n_subjects
resp,xcorr_peak_r,0.4375,4.0,0.006827257502854259,0.06595195766795987,0.00854788239495035,439,5
resp,plv,0.0625,0.0,0.06098958806350978,0.026994024905881923,0.027076781104902133,439,5
resp,wpli,0.125,1.0,0.10425818336587603,0.006721201650128067,0.044192081135808525,439,5
resp,coh_band_avg,1.0,7.0,-0.0007734377508547662,0.23157272985427502,-0.006677072752805884,439,5
hrv_meannn,xcorr_peak_r,0.625,5.0,0.016239940911970046,0.03744422454817004,0.04056540752835906,359,5
hrv_meannn,plv,1.0,7.0,-0.02231604517362409,0.20947456262638986,0.018631832680187106,440,5
hrv_meannn,wpli,1.0,7.0,0.03070141972773934,0.21886880964358646,0.021383700764619033,440,5
hrv_meannn,coh_band_avg,0.8125,6.0,-0.007512252205360351,0.0033794252886901557,-0.018287980869486124,440,5
hrv_meannn_swell_0p1,xcorr_peak_r,0.125,1.0,0.04663053486983448,0.0023587791987267756,0.06733955973748262,359,5
hrv_meannn_swell_0p1,plv,0.625,5.0,-0.0504288074477083,0.8144016169196608,0.0038927221719588464,440,5
hrv_meannn_swell_0p1,wpli,0.8125,6.0,-0.0392566783666231,0.013280386795260044,-0.05001867603469374,440,5
hrv_meannn_swell_0p1,coh_band_avg,0.625,5.0,-0.00898187439002893,0.8415185872865106,-0.0021268058685100203,152,5
