feature,lr_stat,omnibus_p,posthoc_stat,posthoc_p,omnibus_p_fdr,posthoc_p_fdr
low_beta_rel,15.272488009695735,9.306212338923623e-05,5.0,0.625,0.001582056097617016,1.0
high_beta_rel,8.36282475156554,0.003829747776706049,4.0,0.4375,0.03255285610200142,1.0
alpha_rel,5.083642000571217,0.024152584782038463,5.0,0.625,0.12391718664926206,1.0
spectral_entropy,4.758320509410851,0.029156985093944012,6.0,0.8125,0.12391718664926206,1.0
gamma1_abs,4.372485229818267,0.03652368655038721,3.0,0.3125,0.1241805342713165,1.0
delta_abs,2.945562758970482,0.08611369995068696,7.0,1.0,0.2309993627643947,1.0
high_beta_abs,2.7575422918753247,0.09679683876273591,4.0,0.4375,0.2309993627643947,1.0
alpha_abs,2.57293927714818,0.10870558247736221,7.0,1.0,0.2309993627643947,1.0
sample_entropy,2.371312692310312,0.12358309363759051,7.0,1.0,0.23343473242655985,1.0
gamma1_rel,2.012851789490469,0.15597189111423898,6.0,0.8125,0.24813899088450364,1.0
delta_rel,1.968939025029158,0.16056052351350236,6.0,0.8125,0.24813899088450364,1.0
theta_abs,1.7019596077461756,0.1920319024429763,7.0,1.0,0.27204519512754977,1.0
low_beta_abs,1.4965072452896493,0.22120956235778874,7.0,1.0,0.2892740430832622,1.0
lzc,0.8750122853355151,0.3495714232450552,7.0,1.0,0.4244795853689956,1.0
svd_entropy,0.23700467398975888,0.6263779168292063,7.0,1.0,0.6825853439426127,1.0
theta_rel,0.21557391847136387,0.6424332648871649,7.0,1.0,0.6825853439426127,1.0
perm_entropy,0.16327073432103134,0.6861629105936251,7.0,1.0,0.6861629105936251,1.0
